seed,pin_set,first-day-is-settlement,refusal
0,default,0,
1,default,0,
2,default,0,
3,default,0,
4,default,0,
5,default,0,
6,default,0,
7,default,0,
8,default,0,
9,default,0,
10,default,0,
11,default,0,
12,default,0,
13,default,0,
14,default,0,
15,default,0,
16,default,0,
17,default,0,
18,default,0,
19,default,0,
20,default,0,
21,default,0,
22,default,0,
23,default,0,
24,default,0,
25,default,0,
26,default,0,
27,default,0,
28,default,0,
29,default,0,
30,default,0,
31,default,0,
32,default,0,
33,default,0,
34,default,0,
35,default,0,
36,default,0,
37,default,0,
38,default,0,
39,default,0,
