seed,pin_set,history-myth-hop-median,refusal
0,default,5,
1,default,4,
2,default,4,
3,default,5,
4,default,4,
5,default,5,
6,default,4,
7,default,5,
8,default,3,
9,default,4,
10,default,4,
11,default,6,
12,default,7,
13,default,6,
14,default,5,
15,default,2,
16,default,4,
17,default,4,
18,default,4,
19,default,3,
20,default,2,
21,default,3,
22,default,5,
23,default,5,
24,default,6,
25,default,4,
26,default,6,
27,default,5,
28,default,3,
29,default,5,
30,default,5,
31,default,5,
32,default,5,
33,default,6,
34,default,3,
35,default,5,
36,default,5,
37,default,6,
38,default,6,
39,default,4,
