seed,pin_set,shoreline-development,hypsometric-bimodality,shelf-fraction,continent-count,largest-continent-share,plate-size-gini,landmass-count,refusal
0,default,7.7400864,2.8092975,0.059762707,9,0.35533199,0.50274848,52,
1,default,6.4981565,3.2100221,0.044675553,8,0.31364207,0.74607767,29,
2,default,5.8879984,3.7876816,0.035813681,8,0.38786719,0.73512268,22,
3,default,7.3088393,3.0861716,0.058053806,7,0.34562687,0.8227221,42,
4,default,7.2560325,3.0378287,0.054025682,10,0.22800511,0.62965676,29,
5,default,6.4681048,3.6101573,0.039353547,9,0.28333956,0.65102615,25,
6,default,6.8202578,3.5869326,0.046482105,8,0.23677154,0.58883704,34,
7,default,7.0640244,3.1574584,0.055270739,6,0.35906396,0.65919145,28,
8,default,6.2802317,3.712937,0.042331917,7,0.28722892,0.73426265,24,
9,default,7.276311,3.091528,0.052658562,8,0.24967099,0.74787811,38,
10,default,7.7457726,3.0766788,0.042917826,7,0.36851085,0.54891776,46,
11,default,6.7387036,3.3626232,0.037131976,9,0.20780812,0.68159155,32,
12,default,7.3655965,2.9384203,0.055270739,7,0.31784653,0.70742041,53,
13,default,6.8497743,3.356133,0.046750647,10,0.21532798,0.75509357,47,
14,default,6.3674706,3.6351697,0.038596748,10,0.2178427,0.74667626,33,
15,default,7.1619988,3.3222952,0.053024755,7,0.35960077,0.66732039,21,
16,default,8.3271823,2.9565905,0.069356965,7,0.29589527,0.63502453,39,
17,default,6.3787163,3.7146453,0.044065231,6,0.37585689,0.7047962,21,
18,default,6.6788003,3.1892666,0.041379815,10,0.2806327,0.67643995,27,
19,default,7.0532609,3.1804995,0.046286802,6,0.36603177,0.67582021,34,
20,default,7.2248185,3.3504102,0.040134759,12,0.36052608,0.75040281,37,
21,default,7.0266923,2.9918149,0.059079147,7,0.21725541,0.73812721,40,
22,default,7.2496713,3.2615937,0.053903618,9,0.38110574,0.66649403,41,
23,default,6.4640405,3.3763977,0.042844588,8,0.2500619,0.73622056,22,
24,default,6.6041806,3.4490005,0.045993848,7,0.41728213,0.76749996,21,
25,default,6.6155884,3.3787809,0.051511157,4,0.86756358,0.69813907,22,
26,default,6.9019094,3.0388365,0.057565549,6,0.28308488,0.77023257,36,
