seed,pin_set,shoreline-development,hypsometric-bimodality,shelf-fraction,continent-count,largest-continent-share,plate-size-gini,refusal
0,default,12.969259712816966,1.5216622206953563,0.6023143401201113,50,0.9235987352687554,0.5262662142148007,
1,default,11.239468622162844,1.212404091871554,0.7437136858551828,31,0.7420839726600642,0.7676708494051399,
2,default,7.82996510806701,2.8742754091115,0.039915043210780723,49,0.49970874594324705,0.8126393568022394,
3,default,12.00371911143099,0.9947144729218459,0.6841218690493628,35,0.8148111771349997,0.8667894285295781,
4,default,10.50239828970743,1.2572108835417795,0.6741370050290513,37,0.9624855596765367,0.6581547124977623,
5,default,8.220290751186056,2.798346041735102,0.041306576827303355,36,0.6185095255883452,0.6762568559477891,
6,default,12.935501651647936,1.5853529000449986,0.6025828816952298,82,0.558375302505069,0.6270773608989517,
7,default,12.178896944158463,1.335497689041867,0.6091011181094673,58,0.8566814908936892,0.7135816936022004,
8,default,11.700823845007248,1.4738391646054616,0.593769835457253,46,0.9512650602409638,0.8021760005208078,
9,default,11.498762607784252,1.684491872463403,0.5897417118304771,48,0.8169455411418186,0.8081534918542388,
10,default,14.624764065087923,1.4039028598223222,0.37346809237830186,61,0.7769112031846617,0.5782457537254668,
11,default,13.75549258256702,1.5955190090452385,0.30010741663004736,77,0.39977240896358546,0.7491749885833929,
12,default,12.302165939086239,1.318174358988064,0.5812216200380841,30,0.9663106903005615,0.7609649226427011,
13,default,14.386835955621361,1.262537227889669,0.6918607489868659,39,0.9396921017402945,0.8033020151080792,
14,default,13.630000225070429,1.5059699379298197,0.3079195351789463,60,0.5918779860345461,0.7931641090594728,
15,default,10.28001482708049,1.7142102550906642,0.6089302280162101,54,0.46144025996634364,0.7831757346917738,
16,default,10.146600540397083,1.5057072459530163,0.5716517748156829,39,0.9525051678314794,0.6827272838240321,
17,default,11.354364237425926,1.3106287248002249,0.6875396709145061,65,0.53639746686688,0.7603077031866372,
18,default,13.821683172170415,1.6216225067992562,0.24686294614520776,74,0.5767859795039358,0.7424881597578241,
19,default,13.660952935541307,1.650917771716046,0.25914261998925836,51,0.8304630925576584,0.744027198507474,
20,default,12.143624136300376,1.7177430870071426,0.1714515892778673,51,0.3297787256731538,0.80769168172127,
21,default,11.439422379578863,1.7089711852755798,0.5805380596650555,62,0.8992746358436045,0.7797077508151187,
22,default,13.43349683805234,1.124074209476759,0.6913236658366291,32,0.9255680801574522,0.7011603088576868,
