seed,pin_set,settlement-count,mean-population,total-population,capacity-by-abs-latitude,pop-weighted-abs-latitude,rank-size-slope,refusal
0,default,175,15.68,2744,28.778622,7.9133198,-0.38896715,
1,default,395,23.574684,9312,54.026015,12.738676,-0.58519372,
2,default,380,26.336842,10008,61.049682,11.91017,-0.61809014,
3,default,511,24.941292,12745,40.352824,8.4614858,-0.59332001,
4,default,227,16.198238,3677,33.388901,9.5275709,-0.360474,
5,default,312,19.092949,5957,40.684777,11.126173,-0.45762684,
6,default,4,2.75,11,0.63337985,0.59219355,-0.22131051,
7,default,503,26.791252,13476,43.104947,16.281668,-0.5334356,
8,default,252,34.797619,8769,1.657331,30.025406,-0.69293415,
9,default,56,14.803571,829,16.565929,4.5659246,-0.31685846,
10,default,256,31.476562,8058,35.61173,19.48983,-0.66735101,
11,default,298,22.436242,6686,40.482123,11.295787,-0.51624387,
12,default,346,22.887283,7919,32.850173,11.979218,-0.52138186,
13,default,146,31.89726,4657,0.5145852,45.15736,-0.7509029,
14,default,374,27.705882,10362,52.351813,13.798583,-0.6053839,
15,default,522,24.990421,13045,50.559465,15.805726,-0.54678651,
16,default,384,19.945312,7659,42.471315,10.89701,-0.48621839,
17,default,398,20.105528,8002,46.820804,7.8674088,-0.46216468,
18,default,75,15.52,1164,18.561586,8.5579468,-0.28104818,
19,default,232,25.056034,5813,34.256068,10.016619,-0.61537849,
20,default,76,16.881579,1283,31.523268,10.814206,-0.43729707,
21,default,4,13.25,53,4.4159805,5.1247215,-0.054306746,
22,default,206,17.223301,3548,28.301909,9.8756681,-0.40429891,
23,default,460,29.371739,13511,56.692215,12.372383,-0.66014822,
24,default,413,19.88862,8214,38.268847,10.932596,-0.51975035,
25,default,436,22.025229,9603,51.704775,14.634204,-0.50490196,
26,default,22,14.045455,309,9.4325074,9.4025656,-0.33590301,
27,default,4,2,8,0.73555055,0,0,
28,default,59,14.779661,872,25.445666,11.974016,-0.31567743,
29,default,65,14.784615,961,10.107471,4.352118,-0.29034208,
30,default,132,14.166667,1870,19.595828,9.9259828,-0.25177312,
31,default,146,20.349315,2971,30.023123,8.5311513,-0.55442463,
32,default,21,13.666667,287,7.1295715,4.8435873,-0.22436604,
33,default,91,15.857143,1443,20.770233,2.9134685,-0.33864544,
34,default,8,13.875,111,6.8376339,5.7531364,-0.13110515,
35,default,4,1,4,0.046644524,0.59224964,0,
36,default,4,1,4,0.086751478,0.95447968,0,
37,default,4,2,8,0.85435804,0.59219355,0,
