seed,pin_set,cascade-rules-fired-goblin,cascade-rules-fired-bugbear,refusal
0,default,2,1,
1,default,1,1,
2,default,1,1,
3,default,1,2,
4,default,1,1,
5,default,1,3,
6,default,1,0,
7,default,2,1,
8,default,2,1,
9,default,1,1,
10,default,0,0,
11,default,2,1,
12,default,3,4,
13,default,1,2,
14,default,2,1,
15,default,0,2,
16,default,0,1,
17,default,3,2,
18,default,1,0,
19,default,2,0,
20,default,0,0,
21,default,2,2,
22,default,2,1,
23,default,1,2,
24,default,2,4,
25,default,2,2,
26,default,2,1,
27,default,1,1,
28,default,2,1,
29,default,2,2,
30,default,2,2,
31,default,0,0,
32,default,0,0,
33,default,1,1,
34,default,1,1,
35,default,1,2,
36,default,2,1,
37,default,2,1,
38,default,2,2,
39,default,1,1,
40,default,0,1,
41,default,1,0,
42,default,0,1,
43,default,1,1,
44,default,0,1,
45,default,0,0,
46,default,1,1,
47,default,1,1,
48,default,1,2,
49,default,1,2,
50,default,1,3,
51,default,3,1,
52,default,0,0,
53,default,2,1,
54,default,2,2,
55,default,1,1,
56,default,2,2,
57,default,2,2,
58,default,2,0,
59,default,1,1,
60,default,2,1,
61,default,2,1,
62,default,1,0,
63,default,1,3,
64,default,1,1,
65,default,1,1,
66,default,2,1,
67,default,1,1,
68,default,1,1,
69,default,1,2,
70,default,1,1,
71,default,2,2,
72,default,3,3,
73,default,0,1,
74,default,1,1,
75,default,1,1,
76,default,2,0,
77,default,4,1,
78,default,1,1,
79,default,0,0,
80,default,2,2,
81,default,2,0,
82,default,1,2,
83,default,3,2,
84,default,1,1,
85,default,0,0,
86,default,0,0,
87,default,1,1,
88,default,2,2,
89,default,2,0,
90,default,2,3,
91,default,1,0,
92,default,2,1,
93,default,0,1,
94,default,2,0,
95,default,1,2,
96,default,0,1,
97,default,2,2,
98,default,0,0,
99,default,1,1,
100,default,1,2,
101,default,0,0,
102,default,1,0,
103,default,1,0,
104,default,1,2,
105,default,2,1,
106,default,0,1,
107,default,3,2,
108,default,0,0,
109,default,3,2,
110,default,2,2,
111,default,1,0,
112,default,2,2,
113,default,2,3,
114,default,0,1,
115,default,0,1,
116,default,3,3,
117,default,0,1,
118,default,1,0,
119,default,1,2,
120,default,3,1,
121,default,0,2,
122,default,0,0,
123,default,2,1,
124,default,1,1,
125,default,0,0,
126,default,1,0,
127,default,1,2,
128,default,1,0,
129,default,1,2,
130,default,0,2,
131,default,1,1,
132,default,2,1,
133,default,2,1,
134,default,1,1,
135,default,2,1,
136,default,1,1,
137,default,2,2,
138,default,2,2,
139,default,2,1,
140,default,1,0,
141,default,2,2,
142,default,1,1,
143,default,1,1,
144,default,2,1,
145,default,1,0,
146,default,1,1,
147,default,2,2,
148,default,2,2,
149,default,1,1,
150,default,2,3,
151,default,3,2,
152,default,3,2,
153,default,1,0,
154,default,2,3,
155,default,2,1,
156,default,1,0,
157,default,0,2,
158,default,3,2,
159,default,1,0,
160,default,3,2,
161,default,1,3,
162,default,1,3,
163,default,0,1,
164,default,2,1,
165,default,1,1,
166,default,2,2,
167,default,2,3,
168,default,0,1,
169,default,1,2,
170,default,0,1,
171,default,1,0,
172,default,2,2,
173,default,0,0,
174,default,2,2,
175,default,3,1,
176,default,0,0,
177,default,0,0,
178,default,1,1,
179,default,3,1,
180,default,1,0,
181,default,2,1,
182,default,0,0,
183,default,2,3,
184,default,0,1,
185,default,1,0,
186,default,1,1,
187,default,1,1,
188,default,1,1,
189,default,2,2,
190,default,1,2,
191,default,3,3,
192,default,2,2,
193,default,1,1,
194,default,2,1,
195,default,1,2,
196,default,0,0,
197,default,2,2,
198,default,2,1,
199,default,1,2,
