seed,pin_set,peoples-alive-at-bake-end,largest-holding-share,defensibility-capacity-rank-corr,refusal
1,default,5,0.011281225,0.010335181,
2,default,5,0.019973145,0.029136218,
3,default,5,0.011712022,-0.037568309,
4,default,5,0.019859813,-0.095007209,
5,default,5,0.0074110072,0.099429972,
6,default,0,,-0.24433381,
7,default,5,0.0081588251,0.017789306,
8,default,5,0.013977273,0.17792622,
9,default,0,,-0.16258702,
10,default,5,0.012334671,-0.036548177,
11,default,5,0.019638044,0.059909412,
12,default,4,0.042359249,0.038321528,
13,default,5,0.014590747,0.18352361,
14,default,5,0.0095480586,-0.018142468,
15,default,5,0.016424146,0.16468896,
16,default,5,0.012263422,-0.06342932,
17,default,5,0.017902813,0.076535384,
18,default,0,,0.051853279,
19,default,4,0.082405345,-0.10970102,
20,default,0,,-0.1208479,
21,default,5,0.027016886,-0.36427434,
22,default,0,,0.062504548,
23,default,5,0.013564345,0.026500765,
24,default,5,0.0091703372,0.14489947,
25,default,5,0.012951254,0.15656989,
26,default,5,0.014109589,-0.18766116,
27,default,5,0.089595376,-0.29042793,
28,default,5,0.024905818,-0.084444816,
29,default,0,,-0.0677766,
30,default,5,0.015067106,-0.015701105,
