seed,pin_set,granary-raid-phase-concentration,granary-raids-in-depleted-half,refusal
0,default,0.87907691,0.49038462,
1,default,0.91602075,0.36342043,
2,default,0.91753653,0.35013263,
3,default,0.82563758,0.25842697,
4,default,0.83143323,0.61428571,
5,default,0.89004214,0.49609375,
6,default,0.95800801,0.11699164,
7,default,0.78632853,0.68835616,
8,default,1,0.26666667,
9,default,1,0.20588235,
10,default,0.93526084,0.8265896,
11,default,0.88456734,0.9047619,
12,default,0.92649341,0.54310345,
13,default,0.943378,0.63,
14,default,0.95048382,0.45414847,
15,default,0.90049572,0.11497326,
16,default,0.88322122,0.60294118,
17,default,0.9705842,0.45833333,
18,default,0.90726542,0.86809816,
19,default,0.94607941,0.94444444,
20,default,0.99107381,0.57142857,
21,default,0.78906722,0.73529412,
22,default,0.90294997,0.72782258,
23,default,0.88987266,0.85964912,
24,default,0.91741159,0.1974026,
25,default,0.90545572,0.82741117,
26,default,0.81226987,0.70175439,
27,default,0.8421119,0.79,
28,default,0.964491,0.92070485,
29,default,0.95206543,0.66315789,
30,default,0.95485132,0.44,
31,default,0.9034408,0.36915888,
32,default,0.92884079,0.73684211,
33,default,0.88706302,0.67553191,
34,default,0.95997267,0.38823529,
35,default,0.92297284,0.7826087,
36,default,0.92685226,0.59547739,
37,default,0.92555776,0.47124304,
38,default,0.92492798,0.31210191,
39,default,0.97832855,0.6,
40,default,0.73942171,0.52155172,
41,default,0.9024136,0.23492063,
42,default,0.90980913,0.8804878,
43,default,,,
44,default,0.96087351,0.39694656,
45,default,,,
46,default,0.88395702,0.22677165,
47,default,0.88557804,0.69836066,
48,default,0.95446521,0.41573034,
49,default,0.81624765,0.73809524,
50,default,0.96988722,0.094594595,
51,default,0.91968145,0.58441558,
52,default,0.95967756,0.087108014,
53,default,0.92576311,0.24827586,
54,default,0.94443283,0.47826087,
55,default,0.97055372,0.86178862,
56,default,0.88868598,0.88349515,
57,default,0.86420329,0.68804159,
58,default,0.92038529,0.264,
59,default,0.90369445,0.92771084,
60,default,0.95847778,0.064705882,
61,default,0.80655048,0.11551155,
62,default,0.85283262,0.47803163,
63,default,0.94953214,0.54302671,
64,default,0.96264209,0.026258206,
65,default,0.9803804,0.25853659,
66,default,0.93826015,0.50649351,
67,default,0.91032907,0.91566265,
68,default,0.98558127,0.72972973,
69,default,0.93873083,0.50113379,
70,default,0.95321591,0.87943262,
71,default,0.94100129,0.7038835,
72,default,0.89242717,0.42608696,
73,default,0.96902975,0.67889908,
74,default,0.96890171,0.25280899,
75,default,0.93000148,0.71317829,
76,default,0.95231566,0.78632479,
77,default,0.91543955,0.91460674,
78,default,0.87581612,0.51358696,
79,default,0.80978263,0.90972222,
80,default,0.94348198,0.55690073,
81,default,0.94011463,0.41032609,
82,default,0.89602574,0.66666667,
83,default,0.88306438,0.67346939,
84,default,0.86012696,0.32900433,
85,default,0.96222958,0.2037037,
86,default,0.91169922,0.51739788,
87,default,0.93902876,0.062801932,
88,default,0.93566643,0.36184211,
89,default,0.88136764,0.2593985,
90,default,0.94387699,0.39473684,
91,default,0.92922134,0.2,
92,default,0.95403215,0.043478261,
93,default,0.9289682,0.60436137,
94,default,0.91941074,0.78208955,
95,default,0.93862797,0.72289157,
96,default,0.8992195,0.91105121,
97,default,0.96374436,0.16111111,
98,default,0.93472082,0.45299145,
99,default,0.86229751,0.75268817,
100,default,1,0.57142857,
101,default,0.92722335,0.63461538,
102,default,0.92451598,0.77822581,
103,default,0.99416912,0.63636364,
104,default,0.96422105,0.13603473,
105,default,0.94070683,0.95287958,
106,default,0.89579531,0.84101749,
107,default,0.92137829,0.71174377,
108,default,0.93312622,0.12011577,
109,default,0.98238959,0.27777778,
110,default,0.95693797,0.55102041,
111,default,0.9314552,0.60143198,
112,default,0.92684961,0.80645161,
113,default,0.97648453,0.1745283,
114,default,0.87736354,0.93023256,
115,default,0.86212372,0.71179884,
116,default,0.96841619,0.31896552,
117,default,0.91767269,0.80090498,
118,default,0.89800687,0.75609756,
119,default,0.85944467,0.48571429,
120,default,0.85372539,0.54393305,
121,default,0.92543309,0.61325967,
122,default,0.92749464,0.74384236,
123,default,0.95719046,0.5920398,
124,default,0.95694049,0.39784946,
125,default,0.94705954,0.14814815,
126,default,0.88851169,0.87179487,
127,default,0.95460177,0.082840237,
128,default,0.90250583,0.32941176,
129,default,0.95938881,0.53541076,
130,default,0.93556404,0.66141732,
131,default,0.92790985,0.70886076,
132,default,0.89443612,0.54008439,
133,default,0.89681236,0.76578947,
134,default,0.90613959,0.35869565,
135,default,0.86701029,0.15246637,
136,default,0.74315481,0.63905325,
137,default,0.90324281,0.27777778,
138,default,0.92870489,0.7037037,
139,default,0.86286392,0.58883249,
140,default,1,0.27272727,
141,default,0.85603853,0.30275229,
142,default,0.83166211,0.53658537,
143,default,0.96605811,0.17647059,
144,default,0.90541107,0.24043716,
145,default,0.92056678,0.58438287,
146,default,0.90009469,0.33888889,
147,default,0.98756189,0.3515625,
148,default,0.9342951,0.8490566,
149,default,0.94886494,0.82608696,
150,default,0.94399431,0.59825328,
151,default,0.94283481,0.86725664,
152,default,0.91811242,0.51376147,
153,default,0.9317351,0.53125,
154,default,0.90376639,0.9454023,
155,default,0.89504116,0.96083551,
156,default,0.89401929,0.33171913,
157,default,0.89990624,0.40890688,
158,default,0.87925101,0.62801932,
159,default,0.94780567,0.2,
160,default,0.88696663,0.74297189,
161,default,0.94223439,0.76470588,
162,default,0.93931987,0.20593368,
163,default,0.87167492,0.5483871,
164,default,0.96272947,0.0703125,
165,default,0.92781906,0.26229508,
166,default,0.87392312,0.67667436,
