seed,pin_set,name-pattern-signatures,peoples-placed,name-people-recoverability,name-prefix-settlement-scope,name-prefix-region-scope,name-prefix-region-full-stack,refusal
0,default,4,5,0.6,1,1,0.1922802,
1,default,4,5,0.6,1,1,0.3459069,
2,default,4,5,0.6,0.99730458,1,0.21832884,
3,default,4,5,0.6,0.97710361,1,0.6101889,
4,default,4,5,0.6,1,1,0.27372765,
5,default,4,5,0.6,0.995671,1,0.1991342,
6,default,,,,1,1,0.58823529,
7,default,4,5,0.6,0.99799599,1,0.10621242,
8,default,4,5,0.6,1,1,0.28535354,
9,default,,,,1,1,0.5,
10,default,4,5,0.6,0.99759036,1,0.11686747,
11,default,4,5,0.6,0.99702381,1,0.13541667,
12,default,4,5,0.6,1,1,0.31876607,
13,default,4,5,0.6,1,1,0.24818402,
14,default,4,5,0.6,1,1,0.46054628,
15,default,4,5,0.6,0.99748744,1,0.07160804,
16,default,4,5,0.6,1,1,0.33741648,
17,default,4,5,0.6,0.99157303,1,0.34269663,
18,default,,,,1,1,0.17699115,
19,default,3,4,0.5,1,1,0.27586207,
20,default,,,,1,1,0.37037037,
21,default,4,5,0.6,0.971875,1,0.23125,
22,default,,,,1,1,0.30751174,
23,default,4,5,0.6,1,1,0.45235707,
24,default,4,5,0.6,1,1,0.10504202,
25,default,4,5,0.6,0.99449541,1,0.49357798,
26,default,4,5,0.6,1,1,0.45870206,
27,default,4,5,0.6,1,1,0.077669903,
28,default,4,5,0.6,0.99354005,1,0.29198966,
29,default,,,,1,1,0.33098592,
30,default,4,5,0.6,0.99764982,1,0.46415981,
31,default,4,5,0.6,1,1,0.24968789,
32,default,4,5,0.6,0.99291617,1,0.2325856,
33,default,4,5,0.6,0.98449612,1,0.57105943,
34,default,4,5,0.6,1,1,0.060827251,
35,default,4,5,0.6,1,1,0.5,
36,default,,,,1,1,0.61538462,
37,default,,,,1,1,0.4,
38,default,4,5,0.6,0.99758745,1,0.17973462,
39,default,,,,1,1,0.56521739,
40,default,4,5,0.6,1,1,0.27150538,
41,default,4,5,0.6,0.9978355,1,0.36580087,
42,default,4,5,0.6,0.99662162,1,0.33727477,
43,default,,,,1,1,0.33027523,
44,default,4,5,0.6,0.99355878,1,0.13446055,
45,default,,,,1,1,0.54166667,
46,default,4,5,0.6,1,1,0.12477876,
47,default,4,5,0.6,1,1,0.29,
48,default,,,,1,1,0.36538462,
49,default,4,5,0.6,0.98796562,1,0.40744986,
50,default,4,5,0.6,0.99672668,1,0.18657938,
51,default,4,5,0.6,0.99785638,1,0.26366559,
52,default,4,5,0.6,0.9924338,1,0.14627995,
53,default,4,5,0.6,0.90732265,2,0.71624714,
54,default,4,5,0.6,1,1,0.27368421,
55,default,4,5,0.6,1,1,0.050275482,
56,default,4,5,0.6,0.99810066,1,0.14150047,
57,default,4,5,0.6,1,1,0.18478261,
58,default,4,5,0.6,1,1,0.3559322,
59,default,4,5,0.6,0.99305556,1,0.23090278,
60,default,4,5,0.6,0.99612653,1,0.4738541,
61,default,4,5,0.6,1,1,0.29032258,
62,default,4,5,0.6,1,1,0.49455535,
63,default,4,5,0.6,1,1,0.037786775,
64,default,,,,1,1,0.52941176,
65,default,4,5,0.6,0.98958333,1,0.2421875,
66,default,4,5,0.6,0.98794212,1,0.53215434,
67,default,4,5,0.6,0.99788584,1,0.31712474,
68,default,,,,1,1,0.21052632,
69,default,,,,1,1,0.44,
70,default,4,5,0.6,0.99736842,1,0.47236842,
71,default,4,5,0.6,0.99905123,1,0.32685009,
72,default,4,5,0.6,1,1,0.34782609,
73,default,,,,1,1,0.64705882,
74,default,4,5,0.6,1,1,0.16743119,
75,default,,,,1,1,0.086387435,
76,default,4,5,0.6,1,1,0.16691069,
77,default,4,5,0.6,0.94693201,2,0.7761194,
78,default,4,5,0.6,0.99604743,1,0.31422925,
79,default,4,5,0.6,1,1,0.68115942,
80,default,4,5,0.6,1,1,0.22063037,
81,default,4,5,0.6,0.98837209,1,0.063953488,
82,default,4,5,0.6,0.99215686,1,0.098039216,
83,default,4,5,0.6,1,1,0.581517,
84,default,4,5,0.6,0.99638009,1,0.41357466,
85,default,4,5,0.6,0.99038462,1,0.32074176,
86,default,,,,1,1,0.33333333,
87,default,4,5,0.6,1,1,0.58823529,
88,default,4,5,0.6,1,1,0.21751412,
89,default,4,5,0.6,0.99758745,1,0.29794934,
90,default,4,5,0.6,0.99710983,1,0.28179191,
91,default,4,5,0.6,1,1,0.35658915,
92,default,4,5,0.6,1,1,0.35981308,
93,default,4,5,0.6,0.99832636,1,0.49456067,
94,default,4,5,0.6,0.99357739,1,0.39563263,
95,default,4,5,0.6,1,1,0.16544118,
96,default,4,5,0.6,0.99668874,1,0.52483444,
97,default,4,5,0.6,0.99331104,1,0.42920847,
98,default,4,5,0.6,1,1,0.34679335,
99,default,4,5,0.6,1,1,0.19693301,
100,default,4,5,0.6,0.99622642,1,0.27735849,
101,default,4,5,0.6,0.99538958,1,0.17842324,
102,default,4,5,0.6,1,1,0.33986371,
103,default,,,,1,1,0.55555556,
104,default,4,5,0.6,0.99352052,1,0.57559395,
105,default,4,5,0.6,0.97000857,1,0.5664096,
106,default,4,5,0.6,0.99464094,1,0.42390139,
107,default,4,5,0.6,1,1,0.16635514,
108,default,4,5,0.6,1,1,0.32373596,
109,default,4,5,0.6,0.99593496,1,0.51219512,
110,default,4,4,1,0.99492386,1,0.52453469,
111,default,4,5,0.6,0.99846272,1,0.1944658,
112,default,,,,1,1,0.38095238,
113,default,4,5,0.6,0.99662447,1,0.34345992,
114,default,4,5,0.6,1,1,0.10204082,
115,default,4,5,0.6,0.98158379,1,0.41896869,
116,default,3,4,0.5,1,1,0.60224949,
117,default,4,5,0.6,1,1,0.084337349,
118,default,4,5,0.6,1,1,0.25274725,
119,default,4,5,0.6,0.9894958,1,0.37605042,
120,default,4,5,0.6,0.99303621,1,0.27785515,
121,default,4,5,0.6,0.95913261,1,0.50458716,
122,default,4,5,0.6,1,1,0.092105263,
123,default,,,,1,1,0.5,
124,default,,,,1,1,0.58333333,
125,default,4,5,0.6,1,1,0.11309524,
126,default,4,5,0.6,1,1,0.25225225,
127,default,4,5,0.6,0.99842396,1,0.16627266,
128,default,4,5,0.6,0.99166088,1,0.54829743,
129,default,4,5,0.6,0.98463687,1,0.45670391,
130,default,4,5,0.6,0.99634146,1,0.14695122,
131,default,,,,1,1,0.47272727,
132,default,4,5,0.6,1,1,0.16972973,
133,default,4,5,0.6,0.9792498,1,0.39664804,
134,default,4,5,0.6,1,1,0.33108108,
135,default,4,5,0.6,0.99738903,1,0.30548303,
