axis,value,bake_ns,read_ns_per_op,replay_ns,peak_bytes,events
communities,100,26448625,20.45792,16834,1198072,70879
communities,300,67033917,24.62208,33708,3542784,209051
communities,1000,293745208,96.28958,84375,11834496,698357
communities,3000,985143875,52.70708,219167,35467856,2092851
communities,10000,3609329084,82.41542,785041,117690656,6938404
communities,30000,12055561333,104.00917,21438583,353369200,20828657
species,4,250640792,34.13042,87959,11377952,659680
species,16,318148834,30.09542,80000,11834496,698357
species,64,262769041,73.31666,89334,11611224,679854
species,256,294497042,53.84917,89625,11558312,675803
epochs,100,51283584,33.91792,51083,2318112,132018
epochs,300,165368500,41.37125,64666,7080368,415446
epochs,1000,715218541,163.27333,130875,23692760,1404004
epochs,3000,2797997625,66.91125,296708,71160832,4228921
avg_degree,2,286151083,28.78292,73542,11778464,696509
avg_degree,4,286293375,29.83166,82083,11834496,698357
avg_degree,8,311521083,30.50792,87416,11891360,700067
avg_degree,16,323285250,54.42041,93625,11948264,696553
avg_degree,32,311201416,58.34875,114667,12142056,696990
avg_degree,64,302453334,36.00042,158125,12541808,698243
avg_degree,128,301168625,98.72,156541,13301888,697545
avg_degree,256,289950167,31.02042,1519875,14827768,696974
long_range,0,313545375,29.90792,79084,11874368,700911
long_range,5,298336708,31.23083,79458,11834496,698357
long_range,20,297519167,31.46833,86208,11661872,687061
long_range,50,243364709,30.75709,90209,11553584,680634
long_range,100,306129666,31.17125,92459,11502648,677958
scan_vs_index,250,44556292,20425542,0,0
scan_vs_index,500,161405542,46364459,0,0
scan_vs_index,1000,1178293750,110568166,0,0
scan_vs_index,2000,3189975125,245306209,0,0
