# Defect ledger for ambrose — which test caught what, and on what change.
# Written by scripts/defect-ledger.sh on every RED gate. Committed:
# git log -p on this file is the archaeology of what the suite defends.
when_utc	commit	branch	changed_crates	failed_test
2026-08-13T17:48:46Z	d426f96f	campaign/the-sexton	(none)	hornvale-kernel::hv_probe_red$hv_probe_deliberate_red
2026-08-13T23:35:44Z	dbb48adc	campaign/the-sexton	docs/timings.md	hornvale::claim_shape$every_seed_looping_test_in_the_repo_declares_its_claim_shape
2026-08-14T00:25:41Z	69efacb5	campaign/the-sexton	kernel	hornvale-kernel::hv_probe_red$hv_probe_deliberate_red
2026-08-14T12:25:30Z	a1dc294f	campaign/the-glasshouse	book/src,cli/tests,clients/game,clients/vessel,docs/decisions,docs/digest,docs/timings.md,domains/terrain,windows/lab,windows/scene,windows/vessel,windows/worldgen	hornvale::docs_consistency$the_history_page_prose_names_the_cell_it_renders
2026-08-14T12:29:57Z	a1dc294f	campaign/the-glasshouse	book/src,cli/tests,clients/game,clients/vessel,docs/decisions,docs/digest,docs/timings,docs/timings.md,domains/terrain,scripts/regenerate-artifacts.sh,windows/lab,windows/scene,windows/vessel,windows/worldgen	hornvale-book::hornvale_book$tests::reckoning_at_matches_the_fixed_pair_and_renders_arbitrary_days
2026-08-14T12:29:57Z	a1dc294f	campaign/the-glasshouse	book/src,cli/tests,clients/game,clients/vessel,docs/decisions,docs/digest,docs/timings,docs/timings.md,domains/terrain,scripts/regenerate-artifacts.sh,windows/lab,windows/scene,windows/vessel,windows/worldgen	hornvale-book::hornvale_book$tests::seed_1_doctrine_sections_render
2026-08-14T12:40:17Z	a1dc294f	campaign/the-glasshouse	book/src,cli/tests,clients/game,clients/vessel,docs/decisions,docs/digest,docs/timings,docs/timings.md,domains/terrain,scripts/regenerate-artifacts.sh,windows/book,windows/lab,windows/scene,windows/vessel,windows/worldgen	hornvale-lab::hornvale_lab$metrics::tests::census_of_peoples_metrics_extract_for_seed_42
2026-08-14T12:42:56Z	a1dc294f	campaign/the-glasshouse	book/src,cli/tests,clients/game,clients/vessel,docs/decisions,docs/digest,docs/timings,docs/timings.md,domains/terrain,scripts/regenerate-artifacts.sh,windows/book,windows/lab,windows/scene,windows/vessel,windows/worldgen	hornvale-lab::hornvale_lab$metrics::tests::exposure_sound_reports_false_when_the_toponymic_gates_are_removed
2026-08-14T12:45:52Z	a1dc294f	campaign/the-glasshouse	book/src,cli/tests,clients/game,clients/vessel,docs/decisions,docs/digest,docs/timings,docs/timings.md,domains/terrain,scripts/regenerate-artifacts.sh,windows/book,windows/lab,windows/scene,windows/vessel,windows/worldgen	hornvale-lab::hornvale_lab$metrics::tests::seed_42_name_syllables_are_pinned
2026-08-14T12:45:52Z	a1dc294f	campaign/the-glasshouse	book/src,cli/tests,clients/game,clients/vessel,docs/decisions,docs/digest,docs/timings,docs/timings.md,domains/terrain,scripts/regenerate-artifacts.sh,windows/book,windows/lab,windows/scene,windows/vessel,windows/worldgen	hornvale-lab::hornvale_lab$metrics::tests::seed_42_name_transparency_is_a_distribution_not_a_constant
2026-08-14T12:45:52Z	a1dc294f	campaign/the-glasshouse	book/src,cli/tests,clients/game,clients/vessel,docs/decisions,docs/digest,docs/timings,docs/timings.md,domains/terrain,scripts/regenerate-artifacts.sh,windows/book,windows/lab,windows/scene,windows/vessel,windows/worldgen	hornvale-lab::hornvale_lab$metrics::tests::the_analytic_channel_area_matches_the_sampled_one
2026-08-14T12:49:06Z	a1dc294f	campaign/the-glasshouse	book/src,cli/tests,clients/game,clients/vessel,docs/decisions,docs/digest,docs/timings,docs/timings.md,domains/terrain,scripts/regenerate-artifacts.sh,windows/book,windows/lab,windows/scene,windows/vessel,windows/worldgen	hornvale-lab::hornvale_lab$metrics::tests::seed_42_name_syllables_are_pinned
2026-08-14T12:49:06Z	a1dc294f	campaign/the-glasshouse	book/src,cli/tests,clients/game,clients/vessel,docs/decisions,docs/digest,docs/timings,docs/timings.md,domains/terrain,scripts/regenerate-artifacts.sh,windows/book,windows/lab,windows/scene,windows/vessel,windows/worldgen	hornvale-lab::hornvale_lab$metrics::tests::the_independent_reading_covers_every_staple_worldgen_can_steep
2026-08-14T12:57:56Z	a1dc294f	campaign/the-glasshouse	book/src,cli/tests,clients/game,clients/vessel,docs/decisions,docs/digest,docs/timings,docs/timings.md,domains/terrain,scripts/regenerate-artifacts.sh,windows/book,windows/lab,windows/scene,windows/vessel,windows/worldgen	hornvale-lab::census_sentinel$the_first_three_census_worlds_match_the_committed_rows
